val_loss,valid_dice,epoch,step,train_loss
0.6313822269439697,0.01602211222052574,0,2,
0.632555365562439,0.016501961275935173,1,5,
0.6332936882972717,0.016751829534769058,2,8,
0.6336603164672852,0.017040012404322624,3,11,
0.6337667107582092,0.017306378111243248,4,14,
0.6337704658508301,0.017560673877596855,5,17,
0.6335656642913818,0.01773959957063198,6,20,
0.6332153081893921,0.017874661833047867,7,23,
0.6328426003456116,0.017896821722388268,8,26,
0.6323097944259644,0.01766020990908146,9,29,
0.6317607164382935,0.017505856230854988,10,32,
0.6312337517738342,0.01724507100880146,11,35,
0.6307474374771118,0.01717628911137581,12,38,
0.6302732229232788,0.01714867353439331,13,41,
0.6298463344573975,0.01708056591451168,14,44,
0.6295062303543091,0.016998140141367912,15,47,
,,16,49,0.6341933012008667
0.6291601061820984,0.017005475237965584,16,50,
0.6289656758308411,0.01703948713839054,17,53,
0.62880539894104,0.017080187797546387,18,56,
0.6287267804145813,0.01708158478140831,19,59,
0.6285817623138428,0.017084401100873947,20,62,
0.6285647749900818,0.017072737216949463,21,65,
0.628449022769928,0.017091454938054085,22,68,
0.6282978653907776,0.017109287902712822,23,71,
0.628242552280426,0.017082151025533676,24,74,
0.6282929182052612,0.01711064949631691,25,77,
0.6282105445861816,0.017097938805818558,26,80,
0.6282025575637817,0.01708359643816948,27,83,
0.6282274723052979,0.017086375504732132,28,86,
0.6281746625900269,0.01709008775651455,29,89,
0.6281473636627197,0.017114069312810898,30,92,
0.6281861066818237,0.017103129997849464,31,95,
0.6280892491340637,0.017116256058216095,32,98,
,,33,99,0.6342817544937134
0.6280373334884644,0.017106372863054276,33,101,
0.6279957890510559,0.01708274893462658,34,104,
0.6280456185340881,0.017094910144805908,35,107,
0.6280539631843567,0.017074119299650192,36,110,
0.6280248165130615,0.017103172838687897,37,113,
0.6280624866485596,0.017102869227528572,38,116,
0.6280314922332764,0.017064973711967468,39,119,
0.6279872059822083,0.01708649843931198,40,122,
0.6279816627502441,0.01707601547241211,41,125,
0.6279503107070923,0.01711174286901951,42,128,
0.6280121803283691,0.017123721539974213,43,131,
0.6279492378234863,0.01709030382335186,44,134,
0.6279649138450623,0.017100071534514427,45,137,
0.6279403567314148,0.017095886170864105,46,140,
0.6278833150863647,0.017111249268054962,47,143,
0.6278205513954163,0.017091630026698112,48,146,
,,49,149,0.6327716708183289
0.6278188228607178,0.01709287241101265,49,149,
0.6277517080307007,0.017103126272559166,50,152,
0.6278207302093506,0.017098145559430122,51,155,
0.627763032913208,0.017092114314436913,52,158,
0.6277072429656982,0.01708115264773369,53,161,
0.6277525424957275,0.01709020510315895,54,164,
0.6277217864990234,0.017081312835216522,55,167,
0.6276074051856995,0.0170612595975399,56,170,
0.6275988221168518,0.017083581537008286,57,173,
0.6277622580528259,0.01710078865289688,58,176,
0.6277631521224976,0.017090898007154465,59,179,
0.6276390552520752,0.017057184129953384,60,182,
0.6276522278785706,0.017077842727303505,61,185,
0.6276155710220337,0.017084427177906036,62,188,
0.6275160312652588,0.017100557684898376,63,191,
0.6274780035018921,0.01709103398025036,64,194,
0.62737637758255,0.017084404826164246,65,197,
,,66,199,0.631467342376709
0.6274187564849854,0.01707061193883419,66,200,
0.6273605823516846,0.017093881964683533,67,203,
0.6273905038833618,0.01708841323852539,68,206,
0.6272885203361511,0.017128560692071915,69,209,
0.6272538900375366,0.017102062702178955,70,212,
0.6272647380828857,0.017100973054766655,71,215,
0.6272040605545044,0.01709536649286747,72,218,
0.6272851824760437,0.01711544767022133,73,221,
0.6272762417793274,0.01711878553032875,74,224,
0.6272881031036377,0.017137518152594566,75,227,
0.6272322535514832,0.017107877880334854,76,230,
0.6272302865982056,0.017138894647359848,77,233,
0.6271564364433289,0.017125705257058144,78,236,
0.6270739436149597,0.0171310193836689,79,239,
0.6270604133605957,0.01710900105535984,80,242,
0.6270999908447266,0.0171021930873394,81,245,
0.6270676851272583,0.017098793759942055,82,248,
,,83,249,0.629627525806427
0.6270097494125366,0.017070332542061806,83,251,
0.6269854307174683,0.017044812440872192,84,254,
0.627060055732727,0.017080096527934074,85,257,
0.6270254850387573,0.017101509496569633,86,260,
0.626966118812561,0.01707637310028076,87,263,
0.6269873380661011,0.017098788172006607,88,266,
0.6268842816352844,0.01709475740790367,89,269,
0.6269429326057434,0.017094597220420837,90,272,
0.6268969774246216,0.017062101513147354,91,275,
0.6269540190696716,0.01711145043373108,92,278,
0.626868724822998,0.01712685450911522,93,281,
0.626850962638855,0.017119092866778374,94,284,
0.6268532872200012,0.017100635915994644,95,287,
0.6268013715744019,0.017101548612117767,96,290,
0.6267528533935547,0.01711098663508892,97,293,
0.6267329454421997,0.01710149645805359,98,296,
,,99,299,0.6279193758964539
0.6266943216323853,0.01710425317287445,99,299,
0.6267983913421631,0.017071327194571495,100,302,
0.6268298625946045,0.01705535314977169,101,305,
0.6268233060836792,0.017074676230549812,102,308,
0.6267198324203491,0.017096366733312607,103,311,
0.626788854598999,0.01709645427763462,104,314,
0.6268211603164673,0.017122872173786163,105,317,
0.6268824338912964,0.01714394986629486,106,320,
0.6267765760421753,0.017100730910897255,107,323,
0.6265879273414612,0.017137497663497925,108,326,
0.6265209317207336,0.01714750938117504,109,329,
0.6265130639076233,0.017113646492362022,110,332,
0.6265075206756592,0.017096975818276405,111,335,
0.6264722943305969,0.017082110047340393,112,338,
0.6265079975128174,0.017119120806455612,113,341,
0.6264333724975586,0.017118196934461594,114,344,
0.6265085339546204,0.01709563098847866,115,347,
,,116,349,0.6342015862464905
